save_id,course_code,course_name,course_implementations,teachers,eval_overall,eval_methods_supported_learning,eval_study_effort,eval_workload,factors_accessibility,I estimate my own attendance percentage at,The course content and objectives corresponded to those of the course description.,I was satisfied with the practical course arrangements.,The actual teaching times correspond to the scheduled teaching times announced in Sisu.,"If you wish, you can complete your answer about the actual teaching times:",The assessment criteria for the course were clearly explained at the beginning of the course.,How would you develop the course?,Feedback I have given can be processed and a summary can be made of it even if less than 5 students have given feedback.,Teaching was,I achieved the learning outcomes set for the course.,"How could learning technology (e.g. Panopto, Presemo, Flinga) be used in this course to better support your learning?",The course engaged me to reflect on issues related to ecological sustainability.,The course engaged me to reflect on issues related to social sustainability.,How could sustainability-related topics or data be integrated in this course?,What was good about the course? Which factors in particular supported your learning?,What would you change in the course and how?,The course content and objectives corresponded to those of the course description.,How was your study motivation affected by the course?,"Compared with other courses of similar level that I have completed at the school, the course was","The course enhanced my general skills (such as teamwork skills, writing skills, problem-solving skills and a systematic working approach)."," General comments and suggestions (on such matters as course material, teaching methods, course arrangements, ways of completing the course/examinations and unnecessary overlaps with other course contents, or other matters)", I understood what I was supposed to learn in this course.," General comments and suggestions (on such matters as course material, teaching methods, course arrangements, ways of completing the course/examinations and unnecessary overlaps with other course contents, or other matters)",eval_benefit,What was good about the course? Which factors in particular supported your learning?,What needed improvement on the course? Which factors complicated your learning?,I contacted the professor when needed (eg during office hours).,"The instructor communicated well in class, eg gave clear presentations in English, answered questions and explained difficult material.",The instructor encouraged interaction in class.,The instructor gave me feedback in good time on my progress during the course.,"The course materials (eg textbook, slides, cases, other material) supported my learning.",The MyCourses online learning environment was used effectively in this course.,The course required a lot of work.,What was good about the course? Which factors in particular supported your learning?,What would you change in the course and how?,The teaching was motivating and inspiring.,The reason for attending the course:,"For another reason, which is…",Did the course meet your expectations? Comments and proposals for improvements:,In case you discontinued the course: what was the reason?,"Comments on practical arrangements (for example timetables, teaching facilities, informing policy):","Your feedback on Open University services (for example course offerings, IT systems, registration, customer service, student counselling, exam arrangements):",How likely would you recommend this course to your friends and family?,I had sufficient prior knowledge on the topic to do well on the course. ,I achieved the learning outcomes set for the course.,What worked well on the course?,How would you develop the course?,The competencies acquired during this course will be beneficial for my teaching.,I would recommend the course to my colleagues.,Any other feedback to the course organiser(s)?
99260,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2,The idea of a portfolio was nice!,"The course personnel was not super knowledgeable about the topics. Also, they didn't show much enthusiasm about the topic.

The lecture slides were outdated, as pointed out by the professor. However, it was good that during these courses the slides were updated in some parts.

The right answers to the quizes were impossible to get right as they measured more about opinions and perception than facts.

Most of my time went into finding and editing datasets. It could have boosted my learning a lot, if the course staff had picked suitable data sets to the assignments. I see the value in having to find the datasets. Still, I think it would have been better if most of the datasets would have been ready and there had been just couple of tasks, were I would had to find my own data set.

The TA's gave the same feedback to every task in every assignment. I understand that sometimes giving feedback can be hard. However, this seems odd and didn't support much my learning.",,,,,,,,,,,,,,,,,,,,,,,,
99280,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,3,The classroom sessions helped. ,,,,,,,,,,,,,,,,,,,,,,,,5,The fact that the course was split into 4 sections really helped.,"The slides were extremely confusing at times. By that I mean the order of the slides. Because I'm taking note, sometimes it's unclear which section we are at (because some slides are ""intro"" slides to each section ). To improve this, you should have the number of the section on each slide.  For example, if we are talking about data-ink ratio, every slide related to that section should have ""1.1. Data-ink ratio"" in the heading. ",,,,,,,,,,,,,,,,,,,,,,,,
99294,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
99912,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,3,3,-,,,,,,,,,,,,,,,,,,,,,,,,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,
99956,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,-,,,,,,,,,,,,,,,,,,,,,,,,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,
100263,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
100394,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",1,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
100546,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,I liked the assignments and the flipped classroom sessions. ,"A lot of the time that I put into the assignments went to seeking for the dataset which in my opinion did not taught me too much about the topic and more time could have been used to doing the actual visualizations and analysis. Also, I think the course would have been even more interesting to me if the theme was not limited to the SDG:s which are of course important but not that appealing to me. ",,,,,,,,,,,,,,,,,,,,,,,,
100612,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
100764,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100844,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
101412,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
101790,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,I enjoyed that the lectures were in a video format,,,,,,,,,,,,,,,,,,,,,,,,,
101888,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
101907,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",1,1,3,4,"videomateriaalit, sillä ne on saatavilla joustavasti",,,,,,,,,,,,,,,,,,,,,,,,4,,"Kurssi vaikuttaa hyvin sekavalta eikä vielä valmiilta. Tämä korostui esimerkiksi tehtävien arvioinnin epäjohdonmukaisuuksina sekä siinä, että Quiz tarkistus luennoilla kurssihenkilökohta ei edes itse osannut tulkita kysymyksiä oikein eivätkä osanneet perustella oikeita vastauksia. Miten oppilaiden tulisi oppia, kun edes kurssin pitäjät eivät ole suunnitelleet kurssin sisältöä huolella? 

Myöskin viikottaisten assignmenttien arviointi oli ainakin ensimmäisillä viikoilla älyttömän tiukkaa. Yksi kaverini menetti yhtä paljon pisteitä siitä, että vastaus ei ollut tapreeksi persoonallinen kuin toinen joka oli jättänyt vastaamatta kokonaiseen osatehtävään. Tämä on todella epämotivoivaa sille, joka on kuitenkin tehnyt tehtävän. Kannustaisin siis suhteuttamaan sankioita niin, ettei kaikkia pisteitä menetä tehtävistä, joitka on tehnyt, vain pienien virheiden takia.

Kysymysten asettelu ja tehtävien ohjeet olivat koko kurssin aikana hämmentäviä ja epäselviä. Varsinki Quiz:ien kysymykset olivat liian vaikeita ja monimutkaisia. Oman käsitykseni mukaan, kaikki opiskelukaverini kokivat isoja haasteita niiden ymmärtämisessä. Tehtävien ohjeissa taas olisi todella hyvä kertoa tarkalleen mitä vaaditaan ja mistä pisteet tulevat. Itse tein älyttömän pitkiä vastauksia sen pelossa, että en vain satu mainitsemaan jotain asiaa, josta sitten lähtee suhteettoman paljon pisteitä. Eli selkeät arviointikriteerit olisivat hyvin tärkeät, näin säästettäisiin assistenttien ja opiskelijoiden aikaa. 

Lisäksi kurssin esitietovaatimuksissa ei painoteta tarpeeksi jos ollenkaan, että kurssi toteutetaan koodaamalla. Se kannattaa mainita, sillä koodaamiseen tai koodaustyökaluihin ei anneta ollenkaan neuvoja kurssin aikana ensimäisen luennon jälkeen. Tämä ensimmäisella luennolla tapahtunut ohjeistus oli myös niin korkealentoista, että oppilas, joka ei ole ennen koodannut, ei pysty mitenkään saamaan siitä mitään irti. 

Lopuksi, minua vaivasti paljon se, ettei kurssihenkilökuntaan voinut ottaa yhteyttä kurssin aikana, sillä henkilökunnan mukaan kaikki kurssiin liityen lähetetyt sähköpostit luetaan vasta kurssin jälkeen. Tämä tuntui hyvin ikävältä. Olisin toivonut, että oppilaat olisi kohdattu kurssin aikana niin, että omiin huoliin olisi vastattu. Ei ongelmat enää kurssin jälkeen paina mieltä, kun se on jo suoritettu.",,,,,,,,,,,,,,,,,,,,,,,,
102276,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,5,4,3,Luentotallenteet +,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
102343,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,5,4,4,I liked everything,,,,,,,,,,,,,,,,,,,,,,,,4,"Everything, nice lectures, nice flipped ones, project was nice",-,,,,,,,,,,,,,,,,,,,,,,,,
102647,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,3,3,The instructors used the combination of offline and online teaching which was very good. Because you have the material whenever you need and it was possible to ask about them in the in-person classes.,,,,,,,,,,,,,,,,,,,,,,,,3,,"For solving each assignment, we should look for a related dataset which was very time consuming and also confusing. It would be great if they declare a group of related dataset for each assignment.",,,,,,,,,,,,,,,,,,,,,,,,
102928,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
102983,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
103385,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103550,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
103620,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,4,5,3,It was nice that the course was is conducted in English.,,,,,,,,,,,,,,,,,,,,,,,,5,"Even though from time to time, the course felt very-fast paced (because it is only one term), the overall pace of the course was nice.","instead of giving, multiple weeks to the last assignment, the time could be distributed to other assignments for which we had only one week to complete",,,,,,,,,,,,,,,,,,,,,,,,
103695,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
103864,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
103981,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,3,3,2,Having quizzes in the lectures encouraged the participation. Online lectures promote the accessibility of the teaching.,,,,,,,,,,,,,,,,,,,,,,,,4,Assignments supported my learning.,I think there should be more details on the last topics of the course. Especially about the interactive visualization.,,,,,,,,,,,,,,,,,,,,,,,,
104006,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
104130,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,New theories and practical project assignments. ,I feel like some of the quizzes went to unnecessary levels of detail and I just wonder what the point of that was. I think the topics covered on the course were interesting and I learned new things but at times it felt like for some reason we're just overcomplicating things related to visualization by making it overly theoretical. Could also just be a me-issue though. :D,,,,,,,,,,,,,,,,,,,,,,,,
104662,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,5,Flexibility in remote learning,Channel for extra credits or points ,,,,,,,,,,,,,,,,,,,,,,,,
104747,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",2,4,5,3,online material,,,,,,,,,,,,,,,,,,,,,,,,4,assignments were nice,"some exam questions were kinda vague I felt I missed points in multiple choice questions because wording was ambiguous even though I felt I handled the topics well . Like saying that ""needing the glyphs to be filled ellipses of one color"" I interpreted as being forced to be same color for all. ",,,,,,,,,,,,,,,,,,,,,,,,
104789,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,3,4,3,It was nice that the lectures were recorded.,,,,,,,,,,,,,,,,,,,,,,,,4,The project assignment was good.,The quizzes were somewhat puzzling. ,,,,,,,,,,,,,,,,,,,,,,,,
104811,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
104971,aalto-CUR-191967-3109380,"CS-E4840 - Information Visualization D, Lecture, 24.2.2025-3.4.2025",,"Petter Holme, Corinna Coupette",1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,90,90,90,90,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avg,,,,,3.666666667,3.855555556,3.766666667,3.056179775,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,4.2,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
Sd,,,,,1.038581574,0.942875248,0.924692478,0.744060582,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,0.828078671,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
NPS question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,
Respondents,,,,,90 / 293,90 / 293,90 / 293,90 / 293,29 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,85 / 293,37 / 293,40 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293,0 / 293
Response rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
